"","zipcode","pop.total","pop.white","owner.occupied","renter.occupied","median.household.income","borough"
"1","10001",17310,10966,1970,6971,40932,"manhattan"
"2","10002",84870,22140,4146,27366,24022,"manhattan"
"3","10003",53673,41661,7830,21686,60891,"manhattan"
"4","10004",1225,903,133,489,101868,"manhattan"
"5","10005",884,595,35,489,79517,"manhattan"
"6","10007",3522,2507,423,807,112947,"manhattan"
"7","10009",58595,35169,2167,26977,40176,"manhattan"
"8","10010",26408,20583,3707,11838,62467,"manhattan"
"9","10011",46669,38198,8730,19929,61986,"manhattan"
"10","10012",26000,18886,2421,11404,58313,"manhattan"
"11","10013",25042,11078,2247,8018,38304,"manhattan"
"12","10014",32667,28883,4737,15799,66601,"manhattan"
"13","10016",51217,39769,6686,24033,66342,"manhattan"
"14","10017",16201,12571,3098,7806,69273,"manhattan"
"15","10018",4255,2386,433,1628,48705,"manhattan"
"16","10019",36012,26330,3430,18887,55869,"manhattan"
"17","10021",102078,91302,21147,40627,75472,"manhattan"
"18","10022",30642,27506,8684,11096,80406,"manhattan"
"19","10023",62206,51113,12724,24762,72424,"manhattan"
"20","10024",61414,51068,10300,23554,78066,"manhattan"
"21","10025",97086,59530,9652,36644,49733,"manhattan"
"22","10026",30377,2626,1187,10865,22491,"manhattan"
"23","10027",56168,13456,2040,20190,23150,"manhattan"
"24","10028",44987,40928,7988,18125,77565,"manhattan"
"25","10029",75390,20941,1941,25524,22232,"manhattan"
"26","10030",25847,1125,670,10191,17970,"manhattan"
"27","10031",60221,8837,1500,19500,24285,"manhattan"
"28","10032",63842,12346,1087,19702,26237,"manhattan"
"29","10033",58259,20176,1317,17885,31348,"manhattan"
"30","10034",41756,12799,981,14300,29479,"manhattan"
"31","10035",32702,6798,524,10645,14896,"manhattan"
"32","10036",18751,12495,889,9979,41002,"manhattan"
"33","10037",16984,434,504,8056,26561,"manhattan"
"34","10038",15574,7392,1769,4827,31316,"manhattan"
"35","10039",21737,1091,485,8314,17370,"manhattan"
"36","10040",46599,14655,1207,14973,27905,"manhattan"
"37","10044",9520,4684,354,2849,49976,"manhattan"
"38","10128",59856,49941,8376,24424,70031,"manhattan"
"39","10280",6614,4923,777,2949,108536,"manhattan"
"40","10301",38805,22241,5891,8552,45620,"staten"
"41","10302",16406,9925,3067,2475,42452,"staten"
"42","10303",23530,9912,4004,3384,42463,"staten"
"43","10304",38972,20010,6664,6594,41041,"staten"
"44","10305",38450,31812,8243,5899,48944,"staten"
"45","10306",55698,51276,13921,6872,55413,"staten"
"46","10307",11669,11111,2934,1113,64159,"staten"
"47","10308",26451,25215,7274,2165,61868,"staten"
"48","10309",27207,24779,6716,2112,65397,"staten"
"49","10310",22852,14105,4462,3630,46198,"staten"
"50","10312",58867,54840,16078,3978,67728,"staten"
"51","10314",84821,69093,20441,9872,59560,"staten"
"52","10451",40961,7816,1763,13050,20307,"bronx"
"53","10452",72138,11981,778,22096,20606,"bronx"
"54","10453",76775,11982,1232,22814,21109,"bronx"
"55","10454",34976,8584,532,10942,14271,"bronx"
"56","10455",37465,8605,815,11151,19389,"bronx"
"57","10456",76656,10864,1644,23525,16664,"bronx"
"58","10457",69048,11674,1677,20225,19233,"bronx"
"59","10458",77840,24347,1378,24028,22072,"bronx"
"60","10459",39080,9244,1658,10796,17498,"bronx"
"61","10460",53707,13124,2044,15908,19517,"bronx"
"62","10461",49808,36165,6513,13755,40024,"bronx"
"63","10462",72077,26825,6145,22107,33735,"bronx"
"64","10463",65576,36170,7503,20060,40497,"bronx"
"65","10464",4634,4162,1153,940,57458,"bronx"
"66","10465",42500,33478,9090,6984,45650,"bronx"
"67","10466",68787,7947,8460,15217,37141,"bronx"
"68","10467",94342,28436,4396,30367,29044,"bronx"
"69","10468",78309,19270,2370,23354,26852,"bronx"
"70","10469",63345,17127,10583,11352,42102,"bronx"
"71","10470",15780,8753,2066,4372,38464,"bronx"
"72","10471",23413,17915,3961,5772,56488,"bronx"
"73","10472",64867,17121,3319,18421,23565,"bronx"
"74","10473",56166,13501,4533,14901,27733,"bronx"
"75","10474",11354,2930,284,3125,16339,"bronx"
"76","10475",38086,10252,6966,9957,40528,"bronx"
"77","11001",25511,21197,7136,1752,71295,"queens"
"78","11003",40507,18451,9609,2730,63677,"queens"
"79","11004",14682,8903,3835,1873,55156,"queens"
"80","11005",2195,2114,1232,303,55351,"queens"
"81","11040",39157,30151,12001,1353,70959,"queens"
